C,HW,K,RS,Fastest
3,64.0,16.0,5.0,TRT
1,32.0,6.0,5.0,TRT
32,8.0,64.0,5.0,CUBLAS
512,56.0,28.0,5.0,CUBLAS
512,44.0,255.0,1.0,TRT
512,56.0,192.0,3.0,CUBLAS
512,50.0,512.0,1.0,CUBLAS
384,12.0,384.0,3.0,CUBLAS
512,52.0,512.0,3.0,CUDNN_OPT
128,107.0,256.0,1.0,TRT
128,14.0,256.0,3.0,TRT
128,85.0,256.0,3.0,CUDNN_OPT
1024,25.0,512.0,1.0,TRT
1024,58.0,512.0,1.0,CUBLAS
1024,40.0,512.0,1.0,CUBLAS
3,416.0,16.0,3.0,TRT
3,224.0,64.0,3.0,TRT
3,608.0,32.0,3.0,TRT
128,95.0,128.0,3.0,TRT
64,163.0,64.0,3.0,CUBLAS
128,67.0,128.0,1.0,TRT
512,25.0,1024.0,3.0,TRT
512,51.0,1024.0,3.0,CUDNN_OPT
256,55.0,512.0,3.0,CUBLAS
256,42.0,512.0,3.0,CUBLAS
256,14.0,512.0,3.0,CUBLAS
255,38.0,256.0,3.0,TRT
256,38.0,256.0,1.0,TRT
256,71.0,128.0,1.0,TRT
